iter	Logloss
0	0.6931320219
1	0.6931167976
2	0.693106717
3	0.6930928778
4	0.6930773604
5	0.6930633085
6	0.6930466417
7	0.6930325783
8	0.6930172161
9	0.6930037102
10	0.6929907962
11	0.6929714569
12	0.6929567499
13	0.6929403646
14	0.6929285886
15	0.6929168989
16	0.6928984849
17	0.6928854043
18	0.6928717317
19	0.6928566453
20	0.6928454843
21	0.6928270128
22	0.6928082367
23	0.6927914894
24	0.6927758571
25	0.6927637305
26	0.6927510235
27	0.6927392245
28	0.6927209139
29	0.6927089885
30	0.6926938332
31	0.6926705685
32	0.6926577523
33	0.6926462005
34	0.692627775
35	0.6926100104
36	0.6925939872
37	0.692581194
38	0.692572056
39	0.6925569006
40	0.6925446361
41	0.6925328544
42	0.6925173715
43	0.6925045495
44	0.6924894286
45	0.6924679973
46	0.6924531524
47	0.6924367959
48	0.6924195026
49	0.6924039737
50	0.6923843298
51	0.692368433
52	0.6923493753
53	0.6923315073
54	0.6923180934
55	0.6923068347
56	0.6922940472
57	0.6922800125
58	0.6922618284
59	0.6922510812
60	0.6922341902
61	0.6922183509
62	0.6922094255
63	0.6921921897
64	0.6921759079
65	0.692155879
66	0.6921426662
67	0.6921284649
68	0.6921079704
69	0.6920933093
70	0.6920783264
71	0.6920645389
72	0.6920436996
73	0.6920314523
74	0.6920207855
75	0.6920033658
76	0.6919883541
77	0.6919716413
78	0.6919550721
79	0.6919451468
80	0.6919331581
81	0.6919143246
82	0.6918998072
83	0.6918861346
84	0.6918714046
85	0.6918548182
86	0.6918365019
87	0.6918163637
88	0.6918054038
89	0.6917912485
90	0.691779007
91	0.6917619953
92	0.6917485181
93	0.6917380525
94	0.6917246501
95	0.6917110235
96	0.6917001153
