iter	Passed	Remaining
0	177	88780
1	202	50421
2	227	37631
3	323	40140
4	359	35547
5	397	32715
6	435	30655
7	461	28371
8	491	26791
9	525	25737
10	563	25046
11	597	24293
12	634	23764
13	657	22833
14	692	22394
15	731	22134
16	775	22040
17	818	21923
18	858	21727
19	890	21362
20	923	21065
21	960	20860
22	983	20393
23	1019	20215
24	1055	20047
25	1091	19897
26	1128	19762
27	1161	19572
28	1196	19433
29	1232	19309
30	1265	19149
31	1300	19012
32	1334	18890
33	1369	18771
34	1405	18678
35	1441	18584
36	1474	18455
37	1509	18352
38	1543	18241
39	1569	18050
40	1607	17996
41	1642	17912
42	1676	17816
43	1708	17701
44	1743	17633
45	1767	17449
46	1799	17347
47	1836	17294
48	1872	17230
49	1907	17168
50	1944	17116
51	1983	17086
52	2018	17023
53	2048	16919
54	2080	16829
55	2112	16748
56	2146	16683
57	2180	16617
58	2212	16539
59	2249	16494
60	2281	16420
61	2317	16369
62	2352	16315
63	2386	16258
64	2421	16207
65	2456	16154
66	2490	16094
67	2523	16029
68	2558	15982
69	2591	15919
70	2625	15865
71	2658	15805
72	2681	15686
73	2715	15630
74	2754	15608
75	2792	15577
76	2826	15528
77	2862	15488
78	2901	15460
79	2936	15417
80	2969	15361
81	3002	15304
82	3035	15248
83	3073	15220
84	3107	15171
85	3140	15119
86	3174	15069
87	3210	15030
88	3243	14976
89	3279	14937
90	3311	14882
91	3350	14859
92	3393	14852
93	3434	14835
94	3477	14824
95	3517	14801
96	3558	14783
